scene_id,trip_id,substance,block,coder_A,coder_B,rater_status,rater_A_individuated,rater_B_individuated,stage1_driver,parent_scene_id,stage1_verdict,verdict_flavour,verdict_source,canonical_span_start,canonical_span_end,scene_word_count,scene_rank_in_trip,canonical_desc,rater_A_excerpt,rater_B_excerpt,narrative_passage,stage1_rationale,verdict_rationale,n_scenes_in_trip,n_convergent_in_trip,n_solo_A_in_trip,n_solo_B_in_trip,n_scenes_rater_A_in_trip,n_scenes_rater_B_in_trip,n_miss_in_trip,n_granularity_in_trip,n_ambiguity_2a_in_trip,n_ambiguity_2b_in_trip,trip_word_count
Psilocybe_05_S09_A_RCL,Psilocybe_05,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,6243,6350,107,9,Auditory hallucinations infiltrating thoughts (ghost voices of acquaintances),A25,,"they would infiltrate auditory hallucinations, even my very fucking thoughts. 

By this point, I was rushin",No automatic classification; likely genuine miss by other rater,"Auditory hallucinations infiltrating thoughts (""ghost voices of acquaintances""). Concrete auditory hallucinations with specific source attribution. Matches criterion (multimodal AB content).",11,5,6,0,11,5,2,0,1,3,2066
Psilocybe_05_S10_AB,Psilocybe_05,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,7937,8400,463,10,"Full 3D dream world with alien-like monstrosities (Lovecraftian), mutating quivering things staring back","A26,A27,A28","B09,B10","entered a fully realized, three-dimensional dream world. The sheer oddity (for lack of a better word) of what I saw was enough to produce intense, all-consuming fear. I lay and watched, in stark horror, as quivering, mutating undescribable _things_ stared back at me. These alien-like monstrosities had dimensions and proportions that were utterly disturbing (think H.P. Lovecraft style monstrosities; the sort that are alien enough to lay outside of the spectrum",,Both raters individuated this passage.,11,5,6,0,11,5,2,0,1,3,2066
Psilocybe_05_S11_A_RCL,Psilocybe_05,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,9389,9500,111,11,Feels he stumbled upon a cosmic isle free of earthly properties,A29,,"felt as though I had stumbled upon some cosmic isle free of earthly properties. As I tossed and turned in bed, ",No automatic classification; likely genuine miss by other rater,"""Felt as though I had stumbled upon some cosmic isle free of earthly properties"" — subjective feeling of being elsewhere, no concrete perceptual content. Classic trip-level atmospheric phenomenon.",11,5,6,0,11,5,2,0,1,3,2066
Psilocybe_06_S01_AB,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1911,2020,109,1,Street / patterned surfaces begin to roll and stretch like a calm sea,A01,B01,"If I stared at the street or any patterned surface for a few moments, it began to roll and stretch like a cal",,Both raters individuated this passage.,9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S02_A_RCL,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,2027,2120,93,2,Speaking and hearing spoken words feels somewhat alien,A02,,Speaking and hearing spoken words began to feel somewhat alien. I had to pick each word very ,No automatic classification; likely genuine miss by other rater,"""Speaking and hearing spoken words began to feel somewhat alien"" — metacognitive/phenomenological feeling about language experience. No concrete perceptual hallucination. Would fit an altered-cognitive-phenomenology category.",9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S03_A_RCL,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,2500,2600,100,3,"Entering dark bathroom from bright sun: can't make out colors/shapes, black-brown haze",A03,,I couldn’t see or make out colors or shapes; everything was a black and brown haze. After 10 or 20 s,No automatic classification; likely genuine miss by other rater,"""Couldn't see or make out colors or shapes; everything was a black and brown haze"" after entering dark bathroom from bright sun. Normal dark-adaptation physiology, not a hallucination. Phenomenologically real but not a hallucinatory scene.",9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S04_AB,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2680,2980,300,4,Stall walls bending and rolling like sheet metal; wood-grain lines stretching and shrinking,"A04,A05",B02,"I noticed that the stall walls were bending and rolling like sheet metal. I found that to be pretty amusing. I then noticed that the wood grain was moving, and upon closer inspection, the lines were stretching and shrinking, and try as I might, I couldn’t make them stand still. Once I walked back ou",,Both raters individuated this passage.,9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S05_A_RCL,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,5250,5290,40,5,Everything looks kind of glassy,A06,,Everything was kind of glassy. I had the,No automatic classification; likely genuine miss by other rater,"""Everything was kind of glassy"" — ambient visual quality alteration. Matches AB S01/S04/S06 — all ambient surface-visual alterations in this trip.",9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S06_AB,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,6226,6400,174,6,Hallway shifts and starts to rock; lights shimmer and fade,"A07,A08",B03,"As I was walking down a hallway, it suddenly shifted and started to rock, and the lights began to shimmer and fade. All of a sudden I understood. I was supposed to just sit b",,Both raters individuated this passage.,9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S07_A_RCL,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2a,manual,7057,7200,143,7,Period-rush: for seconds feels he's really in prehistoric earth in front of T-rex,A09,,"For just a few seconds, I felt like I was really there. Like I was in prehistoric earth in front of a T-rex, and it about scared the shit out o",No automatic classification; likely genuine miss by other rater,"""Period-rush: for a few seconds I felt like I was really there, in prehistoric earth in front of a T-rex"" — brief immersive mental/temporal experience. Edge-case between immersive mental imagery and a discrete hallucinatory scene.",9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S08_A_RCL,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,9343,9470,127,8,Sounds of people talking cease to be words and become pure sounds flowing around him,A10,,and all the sounds of people talking ceased to be words and turned into pure sounds flowing all around and through me. I was ex,No automatic classification; likely genuine miss by other rater,"""Sounds of people talking ceased to be words and turned into pure sounds flowing around and through me"" — concrete auditory perceptual alteration. Matches ambient-alteration criterion established by AB scenes.",9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_06_S09_A_AMP,Psilocybe_06,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,AMP,,AMBIGUITY,2a,auto,10185,10380,195,9,Running fingers across face leaves tactile tracers (feels fingers pressing after pulling away),A11,,"I remember running my fingers across my face and feeling them pressing against my skin even after I pulled them away. They left tracers of tactile sensation. The taste of my skin was amazing, and","Ambient perceptual-amplification content, no explicit object",Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.,9,3,6,0,9,3,2,0,2,2,2355
Psilocybe_07_S01_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,260,400,140,1,Waves of psychedelic energy manifest as 'wind' flowing through body,A01,B01,"huge waves of psychedelic energy manifesting themselves as 'wind' flowing through my body. I vomited violently, and retreated to the nearly ",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S02_A_RCL,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2a,manual,1094,1470,376,2,Visions plentiful but in black and white; feels ego being physically crushed like a can,"A02,A03,A04,A05",,"The visions were plentiful, yet solemn. At this point they were mostly in black and white. I could feel my ego being physically crushed, just like a can still full of liquid. As the pressure increased, the contents pushed 'outward'. Eventually this culminated in some sort of squashed feeling which I can only relate to the poor 2-D creatures of the sci-fi classic FLATLAND. I",No automatic classification; likely genuine miss by other rater,"""Visions plentiful but solemn; mostly in black and white"" + ""ego being physically crushed like a can"". Mixed passage: summary-of-visions (no specific scene) + ego-metaphor. Guidelines unclear on whether summary statements and ego-metaphors constitute discrete scenes.",8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S03_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1545,2600,1055,3,Entity arrives; does rhythmic dance involving horrifying probes of his form; turns out to be a giant praying mantis with cartoon details,"A06,A07,A08,A09,A10","B02,B03","Eventually an entity came and delivered me unbidden personal attention. I was quite relieved to see another creature, for I suspected I was one myself (although not sure). At first I was captivated by its fluid motions and methodical actions. It was moving in rythyms, doing a dance of sorts. Eventually it occurred to me that the 'dance' it was doing involved horrifying probes of my own form, and that it was moving faster than I could comprehend while doing so. I was paralyzed. I wasn't sure if I had a body or not, but this thing was doing something to ME, which was still intact. As I concentrated more and more upon its 'physical' form (which is a term I use as loosely as possible), it occurred to me that it looked somewhat familiar. Not anything I had ever seen, but close. It was a giant preying mantis, although it had mental appendages and cartoon details about it. It also looked more squat than the terrestrial version of the insect, shorter and more robust. Its many arms worked up and down my existence, probing and testing every bit. It ",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S04_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2895,3900,1005,4,"Drifts through outer space; sees stars, celestial bodies, molecules; charts the cosmos by rearranging stars, different arrangements produce different mental states","A11,A12,A13,A14,A15,A16",B04,"I saw stars, celestial bodies, etc, but was not sure if they were as such, or molecules. The difference seemed irrelevent at that point. I knew I had a brain, and a pair of lungs. I thought that was all. Imagining myself, I saw the brain connected to the lungs behind it, and realized that these two organs in this array must have influenced the design of that dreaded spaceship ''The ENTERPRISE'. As I charted the cosmos, I became aware that through a bit of imagining, or some similar process, I could arrange them to my own satisfaction. I found that different arrangements produced different mental states, some I had known while others were wildly strange. Upon reflection, the impression that I had was that I was re-arranging molecules which were fundamental in neuro-transmitting tasks. One arrangement of the 'stars' felt similar to LSD, one to 2CB, and so forth. I was not aware of this at the time, however. I simply moved the stars according to whim, and felt pleased with the immediate physic",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S05_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3961,4900,939,5,Round room; perimeter has Mayan-cartoon-dog creatures with dragging tongues and backward eyes; middle has indescribable entities; one is a Huichol-garbed Mexican man vomiting,"A17,A18,A19,A20,A21,A22,A23,A24,A25","B05,B06,B07,B08","I eventually slipped into another 'room'. This was the typical round room deep psychedelics take me to. However, this time it was much larger than normal. Around the perimeter flowed the forms of creatures who looked more like cartoon drawings of dogs than anything else. They seemed Mayan, in as far as they all had dragging tongues and eyes which looked only backwards. They seemed to give me a grinning, sarcastic sneer as they drifted past me. Meanwhile, in the middle of the 'sphere', I had other entities to deal with. I cannot come up with any words to describe most of them, although the frivolous doodles which cover the margins of my school lecture notes come closer than anything at approximating their forms. The only clear example I can present is one interesting specimen: I saw a Mexican man, dressed in traditional Huichole garb, kneeling and vomiting on himself. He looked up at me with a knowing glance, and continued his",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S06_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,5240,5700,460,6,"Opium-poppy-like flowers surround him; DMT machine-elves arrive, sing in high-pitched collective voice about his DNA","A26,A27,A28,A29","B09,B10","instantly, flowers looking like opium poppies surrounded me and the 'machine-elves' of DMT fame came to visit. They assured me that I was safe, and really a nice guy to boot. In their high pitched collective voice, they sang a song revealing to me not only my own nature, but that of all creatures as well. They assured me that my DNA was not only similar to their own, but part of as well as *encompassing* their own 'code'. They stressed the simultaneousness",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S07_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,6459,6700,241,7,Metallic cicada-like buzzing sound locked on to his hum; he feels as a bug making the sound; intuitive understanding of metamorphosis,A30,B11,"Eventually it culminated in what McKenna correctly describes as a metallic buzzing sound. Very much like the sound of a cicada, but with many other elements added. I did feel as a bug making the sound, and I had an intuitive understanding of",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_07_S08_AB,Psilocybe_07,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,7203,7500,297,8,"Sculpts 3D objects of pure light and revolving spheres, towers of emerald surrounded by throbbing orbs of sound and love","A31,A32,A33,A34,A35,A36",B12,"o make a chair, or a dog, or anything like that, but rather sculptures of pure light and revolving spheres, towers of emerald surrounded by throbbing orbs of sound and love. These were the toys I presented back to the machine-elves. This ability continued for what I would (with no way of ever kno",,Both raters individuated this passage.,8,7,1,0,8,7,0,0,1,0,1373
Psilocybe_08_S01_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1719,1900,181,1,Music turns things into dragons; own and sitter's hands look and feel like dragon's claws,A02,B01,"The music turned things into dragons. My hand and the hand I was holding both looked and felt like dragon's claws, not in an unpleasant way at all, just definitely dragon and not hu",,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S02_A_RCL,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,Psilocybe_08_S10_AB,GRANULARITY,,manual,1905,2060,155,2,Friend who told frog joke shows up in frog form a few times during session,"A03,A04",,"The friend who'd told the frog joke showed up in frog form a few times during the session, though I myself was thoroughly not a frog. I laughed a lot about",No automatic classification; likely genuine miss by other rater,Friend-as-frog content directly subsumed by AB S10 (two friends appear in fractal space: one as a frog). Larger-scope scene is AB S10 which captures the full pattern; this solo is a narrower earlier-instance fragment.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S03_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2080,2180,100,3,Kaleidoscope-type visuals,"A05,A06",B02,I remember a series of kaleidoscope-type visuals. By then I couldn't keep track of my physical body ,,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S04_A_RCL,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,2766,2870,104,4,"Beautiful visual of living, breathing Earth with water flowing around and through it","A07,A08",,"I got a beautiful visual of a living, breathing Earth with water flowing around and through it, and at t",No automatic classification; likely genuine miss by other rater,"""Living, breathing Earth with water flowing around and through it"" — concrete cosmic visual hallucination. Directly matches AB S08 (""beautiful fractal rainbow spiral world"") — same cosmic-vision category.",12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S05_B_FRAG,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_B,False,True,FRAG,Psilocybe_08_S06_A_FRAG,GRANULARITY,,auto,3149,3400,251,5,Becoming part of a vast network of dancing pale green branches; limbs merging seamlessly,,B03,"I felt myself becoming part of a vast network of dancing pale green branches. There was no up or down, and no edges, my limbs merged seamlessly into the network and it was all dancing in time with the music. Sunlight shining into water with ripples ma",Span overlaps only_A parent scene; treated as fragment,Fragment/sub-scene of a holistic scene coded by the other rater. Parent recorded in scenes.csv. Resolved by the data-coding rule: the encompassing scene is the canonical parent; the fragment pools under it for downstream attribute analysis.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S06_A_FRAG,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,FRAG,Psilocybe_08_S05_B_FRAG,GRANULARITY,,auto,3357,3680,323,6,Abstract visual interpretations of music (sunlight-on-ripples analog),"A09,A10,A11,A12,A13",,"Sunlight shining into water with ripples makes a similar pattern, visually. I was experiencing it more kinesthetically. 

My sense of hearing didn't seem to change at all during the whole session. My vision shifted back and forth between fairly clear perceptions of my surroundings in waking life and abstract visual interp",Span overlaps only_B parent scene; treated as fragment,Fragment/sub-scene of a holistic scene coded by the other rater. Parent recorded in scenes.csv. Resolved by the data-coding rule: the encompassing scene is the canonical parent; the fragment pools under it for downstream attribute analysis.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S07_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3704,3850,146,7,Sitter / bedroom wall / surroundings familiar but distorted in space as if brain refused to do geometry,A14,B04,"When I saw my sitter, my bedroom wall, etc., they were familiar but distorted in space, as if my brain simply refused to do geometry right then. M",,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S08_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,5419,5540,121,8,Beautiful fractal rainbow spiral world with sense of order and freedom,"A15,A16,A17",B05,I spent the rest of it in a beautiful fractal rainbow spiral world that had a sense of order to it as well as a sense of ,,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S09_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,5549,5690,141,9,"The words 'cosmic consciousness' appear visually, exactly as he'd written them earlier",A18,B06,"The words ""cosmic consciousness"" appeared visually, exactly the way I'd written them when I was writing down intentions for the session. The ",,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S10_AB,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,5686,5900,214,10,"Two friends appear in the fractal space: one as a frog, one dancing","A19,A20",B07,"The two friends I'd talked to on the phone showed up in that space. One was just being a frog. The other was dancing in almost the same way as I was, and I remember appreciating that. Some simple word-thoughts floa",,Both raters individuated this passage.,12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S11_A_RCL,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,6191,6400,209,11,Own consciousness manifests as loosely defined part of the fractal; candle-like light fading,"A21,A22",,"My own consciousness lit up --- manifested -- created --- a loosely defined part of the fractal, like a candle whose light fades imperceptibly into the distance. I had a vague centre, but no edges. I had a sen",No automatic classification; likely genuine miss by other rater,"""Own consciousness manifests as loosely defined part of the fractal; candle-light fading"" — subjective phenomenology of consciousness within the already-individuated fractal world. Not an additional perceptual scene; more a felt-quality.",12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_08_S12_A_RCL,Psilocybe_08,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2a,manual,7363,7460,97,12,Sees normal human waking life as a small dark loop in the pattern,"A23,A24",,"I remember seeing normal human waking life as one small, dark loop in the pattern, off the one si",No automatic classification; likely genuine miss by other rater,"""Normal human waking life as one small dark loop in the pattern"" — concrete imagery attached to an insight about human life. Edge-case between hallucinated imagery and metaphorical vision; Guidelines unclear on where to draw the line.",12,6,5,1,11,7,1,3,1,1,1580
Psilocybe_09_S01_A_RCL,Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,734,900,166,1,Waves of rainbow pastel colors separate and replicate,"A01,A02,A03",,"The waves rose slowly and the rainbow pastel colors started to separate and replicate, and I tried to watch the center. The familiar disorientation and self-doubt ros",No automatic classification; likely genuine miss by other rater,"""Waves rose slowly and rainbow pastel colors started to separate and replicate"" — concrete ambient visual hallucination. Matches the pair's criterion on lights dancing / 3D mosaic; early-onset scene B may have undervalued.",5,1,4,0,5,1,2,0,0,2,1203
Psilocybe_09_S02_A_RCL,Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,1612,1790,178,2,Rising focusing energy; gives birth to the universe with ecstatic dancing,"A04,A05,A06",,"With the help of the music there was a rising and focusing of the intensity of the energy, until there came a point where I gave birth to the universe, accompanied by ecstatic da",No automatic classification; likely genuine miss by other rater,"""Gave birth to the universe, accompanied by ecstatic dancing"" — ecstatic/spiritual experience with metaphorical content. Not a perceptual hallucinatory scene.",5,1,4,0,5,1,2,0,0,2,1203
Psilocybe_09_S03_AB,Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2247,2400,153,3,Lights dancing; Jimi Hendrix poster on wall is a 3D mosaic undulating,A07,B01,"The lights were dancing and Jimi Hendrix on the wall was a three dimensional mosaic doing his own undulating dance, but the previous swirling in my menta",,Both raters individuated this passage.,5,1,4,0,5,1,2,0,0,2,1203
Psilocybe_09_S04_A_RCL,Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,3694,3870,176,4,Cosmic winds blow through center of where he had been until nothing,"A08,A09,A10",,"Just this thinning and thinning as the cosmic winds blew through the center of where I had been until there was nothing. I could see that I am nothing, not so much that I am ev",No automatic classification; likely genuine miss by other rater,"""Cosmic winds blew through the center of where I had been until there was nothing"" — ego-dissolution metaphor, no perceptual content. Classic trip-level phenomenon.",5,1,4,0,5,1,2,0,0,2,1203
Psilocybe_09_S05_A_RCL,Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,5697,5800,103,5,"When he turned his gaze, darkness followed behind but what he looked at was illuminated","A11,A12,A13",,"when I turned my gaze, darkness followed behind, but what I looked at was illuminated. It was so beauti",No automatic classification; likely genuine miss by other rater,"""When I turned my gaze, darkness followed behind, but what I looked at was illuminated"" — concrete visual-field alteration (anomalous light/dark distribution relative to gaze). Matches AB S03 (""lights dancing; poster is a 3D mosaic undulating""): ambient-visual alteration category.",5,1,4,0,5,1,2,0,0,2,1203
Psilocybe_10_S01_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1365,1900,535,1,Sees another set of fingers floating above current set; friend's thumb appears inches from face though he is 6 feet away,"A01,A02,A03,A04",B01,"I began to see another set of my fingers above my current set of fingers and stared at them in amazement. They weren’t connected to my actual fingers but they were very blurry and floating there just inches above. As soon as I could think to tell Dee, I see from my peripheral vision, him staring at his hand in amazement on the other side of his couch and all of a sudden his thumb appeared to be inches from my face and in line with the rest of my fingers even though he was at least six feet away. I pulled my hand down and we laugh",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S02_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3159,3450,291,2,"Outlines in visual field become wavy/melting; notices intricate patterns in room, furniture, wood grain","A05,A06",B02,"When I would concentrate on something visually, every outline in my entire visual field began to become wavy and almost look as if it was melting. I also began to notice intricacies and patterns I had never seen before in things from the way his room and the things in it were built, all the",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S03_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3573,3900,327,3,"Mirror reflection looks animalistic/mousy; shadowing, expression, outlines of face change and distort",A07,B03,"had a brief thought that I looked more animalistic for some reason, almost mousy. I stared at my reflection until the shadowing and even expression and outlines of my face began to change and distort, this gave me anxiety so I ran over to the couch and sat behind it with my back to it. Dee came and sat next to me and began ta",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S04_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3959,4100,141,4,Couch appears as size of skyscraper; or he was extremely tiny,A08,B04,As soon as I could agree with him I turned my head to look above my shoulder and the couch looked as if it was the size of a skyscraper. Eith,,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S05_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,5730,5870,140,5,Everything in visual field was breathing; objects animated; colors pop and change faintly,A09,B05,At this point everything in my visual field was breathing and objects became much more animated. Colors began to pop and change faintly and ,,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S06_AB,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,9766,9860,94,6,Hedges in yard spell out 'Ron Regan' (Lil' Wayne song lyric); auditory connection,A10,B06,I looked at the hedges in his yard and they spelled out the worlds Ron Regan. This was because,,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_10_S07_A_RCL,Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,11631,11720,89,7,Still-distorting houses and telephone poles seen from ambulance,A11,,by the still distorting houses and telephone poles. We got to the hospital and the doctor,No automatic classification; likely genuine miss by other rater,"""Still-distorting houses and telephone poles seen from ambulance"" — concrete visual distortion continuing at a new location. Direct continuation of AB S02 (""outlines wavy/melting"") and S05 (""everything in visual field was breathing"").",7,6,1,0,7,6,1,0,0,0,3027
Psilocybe_11_S01_AB,Psilocybe_11,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5629,5980,351,1,"Becomes aware of a loving, intelligent, ancient, alien presence not in room or head",A01,"B01,B02,B03","I became aware of a presence that was not in the room, but not in my head either. It felt loving, intelligent, unbelievably ancient, and most of all unmistakably alien. This was a presence that was at once part of me, yet completely incomparable to human intelligence. Once I acknowledged this presence and reached out, the real show began. 

~T+ 1:30",,Both raters individuated this passage.,8,6,0,2,6,8,1,1,0,0,2382
Psilocybe_11_S02_AB,Psilocybe_11,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5982,6200,218,2,Patterns as geometric fractals with distinctly organic feel,A02,B04,"First came the patterns, which began as geometric fractals with a distinctly organic feel to them. There weren't really any colors just yet, at least which I can remember, but it didn't take long for everything to ramp",,Both raters individuated this passage.,8,6,0,2,6,8,1,1,0,0,2382
Psilocybe_11_S03_AB,Psilocybe_11,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,6423,6600,177,3,Hears presence respond 'I am you and you are me',A03,B05,"my immediate question to this presence was ""what are you,"" to which I immediately received the almost hokey response of ""I am you and you are me"". Regardless of what I was talki",,Both raters individuated this passage.,8,6,0,2,6,8,1,1,0,0,2382
Psilocybe_11_S04_AB,Psilocybe_11,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,7273,8310,1037,4,Blue tie-dye-like pattern with vibrant blues; gradient begins to ripple like a veil; rotation and spiral geometry,"A04,A05,A06,A07","B06,B07"," What I saw looked a lot like the pattern on a blue tie-dye shirt, though the blues on this field were so rich and vibrant you really can't make sense of them unless you are in that state. It is very much like trying to describe color to a blind person, only sober you is that blind person. 

This was the prelude to what I can only describe as some kind of inter-dimensional song-and-dance. 
It felt very sensual and playful, but still very careful. Participating in and being present for this show caused things to reveal themselves in greater and greater levels of complexity. The gradient of the blue field began to ripple, and I got the impression of a sheet or a veil that was having wind blown over it. After the rippling came rotation, first slowly but eventually reaching cartoonish levels of speed. Once it had begun rotating fast enough, the geometry came back but with a much more urgent and wild intensity. First came a spiral, then many other patterns that I don't remember, and this culminated in what I can only describe ",,Both raters individuated this passage.,8,6,0,2,6,8,1,1,0,0,2382
Psilocybe_11_S06_B_RCL,Psilocybe_11,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,Psilocybe_11_S04_AB,GRANULARITY,,manual,8471,8620,149,5,With the pulsing came recognizable images from our own world; completely let go,,B08,"With the pulsing came recognizable images from our own world, and it was at this point that I managed to completely let go and lose myself. I can rem",No automatic classification; likely genuine miss by other rater,Transition-description referencing the pulsing already individuated as AB S04 (blue tie-dye ripple/spiral). Larger-scope scene is AB S04; this solo is a transitional fragment of it.,8,6,0,2,6,8,1,1,0,0,2382
